index,accuracy
JJ,0.9510555863380432
N,0.9533058484300038
V,0.9518063269265946
PR,0.9544074535369873
PUNC,0.9548755288124084
DM,0.9551617503166199
PSP,0.9535716772079468
RP,0.9542946815490723
QT,0.9548847079277039
NEG,0.9489705562591553
CC,0.955350935459137
RD,0.9539118409156799
RB,0.9534368515014648
ECH,0.9430894255638123
INJ,0.9512194991111755
CL,0.9512194991111755
